,movie,year,imdb,
539,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,3
540,Star Wars: Episode IX - The Rise of Skywalker,2019,6.7,3
541,Horrible Bosses,2011,6.9,3
542,Men in Black II,2002,6.2,3
543,Lara Croft: Tomb Raider,2001,5.8,3
544,Contagion,2011,6.7,3
545,Justice League,2017,6.4,3
546,The Purge: Election Year,2016,6,3
547,Kick-Ass 2,2013,6.5,3
548,Limitless,2011,7.4,3
549,Thor: Ragnarok,2017,7.9,3
550,Jigsaw,2017,5.8,3
551,Salt,2010,6.4,3
552,The Fault in Our Stars,2014,7.7,3
553,The Hangover Part III,2013,5.8,3
554,The Hobbit: The Battle of the Five Armies,2014,7.4,3
555,Pirates of the Caribbean: At World's End,2007,7.1,3
556,The Fast and the Furious: Tokyo Drift,2006,6,3
557,Sinister 2,2015,5.3,3
558,Iron Man Three,2013,7.2,3
559,Teenage Mutant Ninja Turtles,2014,5.8,3
560,Pearl Harbor,2001,6.2,3
561,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,3
562,Captain Marvel,2019,6.9,3
563,The Avengers,2012,8,3
564,The Hunger Games: Mockingjay - Part 2,2015,6.5,3
565,Spider-Man: Homecoming,2017,7.4,3
566,Don Jon,2013,6.5,3
567,Robin Hood,2010,6.6,3
568,Hulk,2003,5.6,3
569,Mission: Impossible II,2000,6.1,3
570,The Green Hornet,2011,5.8,3
571,Star Wars: The Clone Wars,2008,5.9,3
572,The Lazarus Effect,2015,5.2,3
573,Noah,2014,5.8,3
574,The Strangers,2008,6.2,3
575,The Boy,2016,6,3
576,The Legend of Zorro,2005,6,3
577,Bachelorette,2012,5.3,3
578,300: Rise of an Empire,2014,6.2,3
579,King Arthur: Legend of the Sword,2017,6.7,3
580,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,3
581,Wonder Woman,2017,7.4,3
582,The Bling Ring,2013,5.6,3
583,Evan Almighty,2007,5.4,3
584,Ant-Man,2015,7.3,3
585,Zero Dark Thirty,2012,7.4,3
586,Night at the Museum,2006,6.4,3
587,The Expendables 2,2012,6.6,3
588,Guardians of the Galaxy Vol. 2,2017,7.6,3
589,Captain America: The First Avenger,2011,6.9,3
590,Mr. & Mrs. Smith,2005,6.5,3
591,The Expendables,2010,6.5,3
592,The Hangover Part II,2011,6.4,3
593,Shoot 'Em Up,2007,6.7,3
594,Lights Out,2016,6.3,3
595,The Adventures of Tintin,2011,7.3,3
596,Sucker Punch,2011,6,3
597,Dead Silence,2007,6.2,3
598,Guardians of the Galaxy,2014,8,3
599,The Campaign,2012,6.1,3
